ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
22,LOUISIANA,LA,Jefferson Davis,22053,"Jefferson Davis Parish, Louisiana",651.3638644,31467,0,13809,77,11501,299,6002,813,1204,237,24582,1628,3918,402,4947,40,8062,72,5510,442,1441,226,6821,26,43,103,153,67,2349,293,383,150,837,197,504,181,19.4,2.6,9.0,1.8,24582.0,1628.0,18.9,2.0,15.7,0.1,25.6,0.2,17.8,1.4,12.5,1.9,21.7,0.1,0.1,0.4,1.1,0.5,17.0,2.1,3.3,1.3,7.3,1.7,1.6,0.6,0.3968,0.7302,0.3651,0.5397,2.0318,0.4921,0.5079,0.8413,0.7302,0.7302,2.8096,0.9365,0.1111,0.0,0.1111,0.0159,0.3175,0.3016,0.746,0.4762,0.3016,2.1429,0.3175,7.0954,0.4127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2895,496,9.3,1.6,26971
22,LOUISIANA,LA,Union,22111,"Union Parish, Louisiana",876.9765777,22475,0,11677,59,7724,271,4010,601,546,168,22979,1621,2241,359,4364,30,5016,0,3509,421,569,143,7021,23,204,152,140,61,3864,384,241,110,554,123,506,152,18.5,2.8,6.3,1.8,22979.0,1621.0,14.4,2.3,19.4,0.1,22.3,0.0,16.0,1.9,7.4,1.8,31.2,0.1,1.0,0.7,1.2,0.5,33.1,3.3,3.1,1.4,7.2,1.6,2.3,0.7,0.3333,0.3651,0.5238,0.2222,1.4444,0.2381,0.9365,0.2381,0.5556,0.0317,1.7619,0.3333,0.2222,0.6667,0.8889,0.3651,0.3968,0.9365,0.7143,0.4603,0.5079,3.0158,0.8095,7.111,0.4286,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,2639,528,12.0,2.4,16940
22,LOUISIANA,LA,Sabine,22085,"Sabine Parish, Louisiana",866.658689,24088,0,14898,60,9185,298,4610,425,928,136,22637,975,2420,237,4744,14,5780,5,3699,287,803,136,7744,8,57,84,171,79,6171,346,187,60,743,121,411,111,19.5,1.8,10.3,1.5,22637.0,975.0,14.7,1.4,19.7,0.1,24.0,0.0,15.6,1.2,8.7,1.5,32.1,0.0,0.3,0.4,1.1,0.5,41.4,2.3,2.0,0.7,8.1,1.2,1.7,0.5,0.4444,0.873,0.5714,0.2698,2.1586,0.6032,0.9683,0.4603,0.5079,0.1111,2.0476,0.5397,0.254,0.2222,0.4762,0.0635,0.3175,1.0,0.1905,0.5873,0.3492,2.4445,0.4921,7.1269,0.4444,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,3088,367,13.0,1.6,20252
22,LOUISIANA,LA,St. Bernard,22087,"St. Bernard Parish, Louisiana",377.5119313,45694,0,16989,55,15029,259,8912,930,2156,335,21217,802,5223,544,4869,47,12322,42,6678,512,2124,234,16966,172,754,204,172,65,1013,174,361,100,1001,186,333,103,19.7,2.1,10.3,1.6,21217.0,802.0,17.6,1.8,10.7,0.1,27.0,0.1,14.7,1.1,14.1,1.5,37.1,0.4,1.8,0.5,1.0,0.4,6.0,1.0,2.4,0.7,6.7,1.2,0.7,0.2,0.4762,0.873,0.6667,0.4127,2.4286,0.7143,0.0,0.9683,0.3968,0.9524,2.3175,0.7619,0.5238,0.8254,1.3492,0.8889,0.2857,0.0476,0.381,0.2857,0.0635,1.0635,0.0,7.1588,0.4603,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,5187,631,11.4,1.4,35686
22,LOUISIANA,LA,Red River,22081,"Red River Parish, Louisiana",389.0915832,8618,0,4190,40,3334,164,1977,426,157,81,22626,3704,1213,250,1569,15,2082,71,1529,243,280,78,3711,17,59,96,18,17,1300,226,82,65,211,64,139,69,23.6,5.1,4.7,2.4,22626.0,3704.0,20.6,4.3,18.2,0.2,24.2,0.8,18.0,2.9,8.4,2.3,43.1,0.2,0.7,1.2,0.4,0.4,31.0,5.3,2.5,2.0,6.3,1.9,1.6,0.8,0.6349,0.0635,0.5873,0.6667,1.9524,0.4127,0.8413,0.5714,0.7619,0.0476,2.2222,0.6825,0.6667,0.4603,1.127,0.7302,0.127,0.8571,0.5079,0.2222,0.3016,2.0158,0.2222,7.3174,0.4762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,239,11.2,2.8,7451
22,LOUISIANA,LA,Ouachita,22073,"Ouachita Parish, Louisiana",610.3966167,156075,0,67732,409,56686,845,35477,1831,4642,578,23663,747,13796,848,21822,105,39530,0,19412,907,7203,478,65151,13,380,162,2914,352,8906,535,1343,291,5211,482,7582,1063,23.9,1.2,6.7,0.8,23663.0,747.0,13.7,0.8,14.0,0.1,25.3,0.0,12.9,0.6,12.7,0.8,41.7,0.0,0.3,0.1,4.3,0.5,13.1,0.8,2.4,0.5,9.2,0.8,4.9,0.7,0.6667,0.4603,0.4444,0.1746,1.746,0.3651,0.2857,0.7937,0.1429,0.7778,2.0001,0.5079,0.6349,0.2222,0.8571,0.3333,0.8095,0.1587,0.381,0.6825,0.7143,2.746,0.6667,7.3492,0.4921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16757,1311,11.1,0.8,162536
22,LOUISIANA,LA,Vermilion,22113,"Vermilion Parish, Louisiana",1173.2114148,59867,0,26361,122,21632,453,10361,1363,2128,421,24546,1162,8494,722,8791,77,15487,53,9975,860,1887,366,12963,107,1025,272,433,155,5500,460,816,238,1452,286,521,231,17.6,2.3,8.0,1.6,24546.0,1162.0,21.6,1.8,14.7,0.1,25.9,0.1,16.8,1.4,8.7,1.7,21.7,0.2,1.8,0.5,1.6,0.6,20.9,1.8,3.8,1.1,6.7,1.3,0.9,0.4,0.254,0.6508,0.381,0.7302,2.016,0.4762,0.4127,0.8889,0.6667,0.1111,2.0794,0.5873,0.1111,0.8254,0.9365,0.4603,0.5079,0.5873,0.8889,0.2857,0.127,2.3968,0.4444,7.4287,0.5079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6005,789,10.1,1.3,48094
22,LOUISIANA,LA,Lincoln,22061,"Lincoln Parish, Louisiana",471.7417885,47356,0,20075,129,17551,375,13118,1012,1590,327,22498,872,2995,360,6174,71,9531,51,6464,519,2202,423,22113,26,344,165,780,211,3838,385,354,138,1866,362,3216,318,29.7,2.2,7.1,1.4,22498.0,872.0,11.6,1.4,13.0,0.1,20.1,0.1,13.8,1.1,12.5,2.4,46.7,0.1,0.8,0.4,3.9,1.1,19.1,1.9,2.0,0.8,10.6,2.0,6.8,0.7,0.9206,0.5079,0.6032,0.0635,2.0952,0.5556,0.127,0.0635,0.1905,0.7302,1.1112,0.0794,0.746,0.5238,1.2698,0.8254,0.7778,0.381,0.1905,0.8413,0.7778,2.9684,0.7937,7.4446,0.5238,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5118,687,11.0,1.5,50239
22,LOUISIANA,LA,Caddo,22017,"Caddo Parish, Louisiana",878.8290376,248361,0,112999,184,96360,821,56774,2797,8026,718,25902,816,22427,1211,39667,71,59803,0,36801,1397,11843,783,136151,216,1138,282,9823,782,10324,593,1613,298,10179,754,4987,450,23.3,1.1,7.1,0.6,25902.0,816.0,13.4,0.7,16.0,0.1,24.1,0.0,15.1,0.6,12.3,0.8,54.8,0.1,0.5,0.1,8.7,0.7,9.1,0.5,1.7,0.3,10.6,0.8,2.0,0.2,0.619,0.5079,0.2857,0.127,1.5396,0.2698,0.5873,0.5238,0.4921,0.6984,2.3016,0.7143,0.8889,0.381,1.2699,0.8413,0.9365,0.0794,0.127,0.8413,0.4444,2.4286,0.4762,7.5397,0.5397,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,25091,1447,10.3,0.6,242797
22,LOUISIANA,LA,Webster,22119,"Webster Parish, Louisiana",593.1828274,39631,0,19618,102,16230,419,10170,1093,902,224,18701,855,4579,418,7488,67,9032,47,6178,514,1725,326,15041,15,40,109,791,204,3923,410,394,123,1208,212,1036,231,26.3,2.8,5.6,1.4,18701.0,855.0,16.8,1.5,18.9,0.2,22.8,0.1,16.0,1.3,10.6,2.0,38.0,0.0,0.1,0.3,4.0,1.0,20.0,2.1,2.4,0.8,7.4,1.3,2.6,0.6,0.7619,0.1587,0.8889,0.3651,2.1746,0.619,0.9048,0.2857,0.5556,0.4444,2.1905,0.6667,0.5397,0.0,0.5397,0.0952,0.7937,0.4444,0.381,0.5079,0.5397,2.6667,0.6032,7.5715,0.5556,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3773,460,9.7,1.2,37608
